id,duration,order,ammsa_01_menlead,ammsa_02_misgivings,ammsa_03_emancipated,ammsa_04_custfalsacc,ammsa_05_battlesexes,ammsa_06_bionecessit,ammsa_07_amplesuppor,ammsa_08_mediadepict,ammsa_09_cupcoffee,ammsa_10_suggremarks,ammsa_11_darkalleys,ammsa_12_assertright,ammsa_13_praiselooks,ammsa_14_fascination,ammsa_15_playcoy,ammsa_16_exaggerate,ammsa_17_urgepartner,ammsa_18_singleinvit,ammsa_19_politicians,ammsa_20_marital,ammsa_21_steamboil,ammsa_22_retailiate,ammsa_23_onthejob,ammsa_24_hitbreaks,ammsa_25_robbery,ammsa_26_alcohol,ammsa_27_wllmntgest,ammsa_28_shelters,ammsa_29_envdestr,ammsa_30_punish,asi_01_nottrlycmplte,asi_02_spclfavours,asi_03_disaster_r,asi_04_inncntrem,asi_05_offended,asi_06_rominvlvd_r,asi_07_feminists_r,asi_08_qualpurity,asi_09_chersihed,asi_10_appreciate,asi_11_controlmen,asi_12_adore,asi_13_complete_r,asi_14_exgrtwork,asi_15_tightleash,asi_16_faircomp,asi_17_pedestal,asi_18_kickteasing_r,asi_19_moralsensib,asi_20_sacrifice,asi_21_reasondemands,asi_22_refinedsense,irma_01_whiledrunk,irma_02_sluttycloth,irma_03_roomalone,irma_04_actslut,irma_05_nounclear,irma_06_girlinitiate,irma_07_strongdesire,irma_08_carriedaway,irma_09_sexdriveooc,irma_10_drunkunint,irma_11_didntrealize,irma_12_bothdrunk,irma_13_physicresist,irma_14_physfightbck,irma_15_bruisesmarks,irma_16_noweapon,irma_17_deosntsayno,irma_18_agreeregret,irma_19_getbckatguys,irma_20_ledonregrets,irma_21_emotionalprb,irma_22_caughtcheat,sc_01_sexwanybody,sc_02_giveintooeasil,sc_03_biostrngerdriv,sc_04_dirtyjokes,sc_05_masturbation,sc_06_oralsex,sc_07_norespect,sc_08_menstrual,sc_09_havechildren,sc_10_sexualoutlet_r,sdo_01_simplyinferio,sdo_02_getwhatwant,sdo_03_chanceinlife,sdo_04_steponothers,sdo_05_fewerproblems,sdo_06_topbottom,sdo_07_infstayplace,sdo_08_mustbekept,sdo_09_groupsequal_r,sdo_10_ourideal_r,sdo_11_equalchance_r,sdo_12_eqlizeconds_r,sdo_13_increased_r,sdo_14_fewerprblms_r,sdo_15_eqlincomes_r,sdo_16_dominate_r,att_control,att_control_8_text
1,724,2,5,5,5,4,6,4,6,3,1,4,2,5,5,4,6,5,2,5,2,4,7,2,5,4,2,7,4,6,5,2,7,7,4,5,2,3,7,4,7,7,2,3,5,4,7,4,7,4,4,3,5,5,4,1,2,4,3,4,4,3,4,3,1,4,2,1,2,1,5,4,2,3,3,3,5,4,3,4,6,1,3,3,1,4,5,1,6,2,5,4,4,6,7,7,6,7,7,7,6,1,5,NA
2,964,2,5,5,6,7,7,7,3,6,5,5,3,6,6,6,5,4,7,6,6,6,6,7,7,4,5,6,7,3,5,2,4,4,1,5,5,2,2,5,4,5,5,4,1,4,4,4,3,3,4,5,1,5,1,3,2,4,3,5,4,4,4,4,2,3,2,2,2,2,4,4,4,4,4,4,3,2,5,2,7,1,2,7,1,5,5,2,2,1,2,2,2,5,6,6,7,6,6,6,5,6,8,+
3,592,2,5,1,4,2,4,1,3,4,1,4,4,1,4,1,4,3,1,1,1,1,1,4,1,4,1,5,1,1,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,2,7,4,2,7,7,1,1,1,3,1,1,3,3,4,1,1,1,1,1,1,1,1,3,3,3,3,3,1,2,2,2,7,1,2,3,2,3,4,1,2,2,4,2,1,4,7,7,7,6,7,7,6,4,8,+
4,530,1,1,4,4,3,4,2,1,1,1,4,1,1,4,3,4,4,2,4,1,4,3,4,1,3,2,1,4,4,1,1,7,2,3,7,3,7,2,7,7,3,3,7,7,4,7,7,2,3,7,2,7,7,3,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,7,3,2,2,2,5,4,3,4,4,4,4,4,3,2,4,3,4,4,4,3,4,2,NA
5,938,1,4,2,1,3,4,1,3,4,1,2,1,1,1,1,1,2,1,1,5,1,1,2,3,1,4,5,5,2,3,4,2,1,7,3,2,6,5,2,4,7,2,1,5,2,2,7,1,6,2,4,6,2,1,1,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,5,2,6,7,7,4,1,7,1,1,2,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
6,1627,2,1,1,1,1,1,6,2,4,2,4,1,1,5,4,6,1,1,1,6,1,6,1,1,1,4,1,1,3,1,1,5,2,3,1,1,7,5,7,3,1,1,7,1,1,1,1,2,6,1,7,4,2,1,1,1,3,1,1,4,3,4,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,6,5,4,1,1,7,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
7,478,1,3,3,2,3,2,3,3,3,3,3,2,3,3,4,3,4,6,3,3,2,2,3,3,3,2,3,3,3,3,5,3,3,7,3,2,3,2,3,7,7,3,3,2,3,3,2,7,3,3,7,7,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,7,4,1,4,4,3,3,3,3,4,4,3,4,4,3,4,4,3,4,3,NA
8,1145,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,7,5,1,1,1,1,1,2,7,2,2,5,5,2,1,3,1,2,5,1,2,2,2,5,2,1,4,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,4,1,4,2,6,1,1,2,2,1,2,1,1,6,7,7,5,6,7,7,1,8,+
9,842,2,4,3,4,1,4,3,1,5,1,4,1,1,2,4,5,1,2,1,2,1,3,1,3,3,2,3,2,2,2,1,6,3,4,2,1,4,6,2,6,7,7,5,2,1,4,1,6,7,4,3,7,7,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,4,7,1,2,2,6,6,1,2,5,1,4,2,2,2,5,6,6,4,5,7,5,7,8,+
10,2551,1,7,2,2,1,5,5,2,1,4,5,1,2,6,3,6,2,1,5,3,6,1,2,3,5,4,7,2,3,1,4,4,1,6,4,4,5,2,5,4,7,2,6,2,4,2,2,4,5,5,6,3,6,2,2,1,4,2,4,3,2,1,1,1,2,2,2,1,1,1,2,3,3,3,4,2,5,6,6,7,2,5,7,1,6,5,2,2,1,4,2,2,5,7,6,7,6,6,4,7,6,8,+
11,831,1,6,2,4,6,4,2,2,4,2,4,2,4,6,5,5,5,4,4,7,4,2,4,4,3,6,4,4,2,2,2,2,5,2,4,5,7,1,7,7,7,5,7,4,7,5,4,7,1,7,7,1,2,3,2,2,3,2,4,2,3,3,2,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,2,6,1,4,4,1,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,NA
12,1304,2,5,1,4,5,3,5,4,5,2,4,1,1,2,2,5,4,1,2,5,2,3,4,5,3,4,3,3,4,3,2,2,7,2,7,3,7,7,4,7,3,7,4,3,7,2,7,7,7,3,3,4,3,1,2,1,2,2,2,3,2,2,1,1,2,1,1,1,1,1,2,2,2,2,3,2,2,4,4,6,2,5,2,2,6,3,1,4,1,2,2,2,4,6,6,7,6,6,6,6,6,8,+
13,506,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,2,3,4,3,3,3,4,1,4,1,4,1,4,4,4,4,1,3,5,2,4,5,4,6,5,5,7,4,4,4,2,5,8,+
14,756,1,2,1,2,3,4,1,4,2,1,2,1,2,2,4,2,2,3,2,3,1,1,2,4,2,4,1,2,4,2,4,2,2,5,2,2,4,5,7,3,2,2,2,4,2,2,3,1,4,2,2,7,1,1,1,1,3,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,2,4,2,7,1,1,2,1,6,1,2,6,2,2,2,2,4,6,5,6,6,4,6,2,6,8,+
15,1006,1,5,2,2,2,2,2,2,5,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,5,2,5,2,2,2,5,2,2,7,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,2,3,2,3,2,4,1,2,1,2,1,1,2,2,3,2,2,3,2,2,2,3,6,2,2,4,2,6,1,1,2,2,1,2,1,1,7,6,6,6,6,7,6,6,8,+
16,1257,2,6,1,2,4,4,5,1,4,3,3,1,1,6,4,4,2,4,4,4,2,1,1,4,2,4,2,4,1,1,2,2,2,1,7,1,6,3,7,2,7,4,1,7,1,4,2,3,1,7,1,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,2,6,1,1,5,1,5,7,1,1,1,1,7,7,7,7,7,7,7,4,7,7,7,4,NA
17,759,2,4,1,3,2,2,4,2,5,3,2,1,2,2,3,2,4,2,2,3,2,5,2,2,3,4,2,2,2,2,2,2,7,7,2,3,3,2,2,2,4,2,2,2,7,4,1,2,4,4,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,1,5,1,1,3,2,6,2,2,4,2,5,5,2,3,5,6,6,5,6,7,5,6,8,+
18,709,2,4,1,1,2,1,3,1,3,1,2,1,3,2,4,2,1,1,1,4,1,4,1,1,2,4,3,1,1,1,1,1,1,7,3,2,7,2,7,1,7,2,2,7,2,2,7,1,6,7,2,6,2,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,2,3,2,2,1,2,1,2,2,2,7,1,1,5,1,7,1,1,3,4,2,1,1,1,6,6,6,6,4,6,4,6,8,+
19,852,2,2,1,1,2,6,1,1,6,1,2,1,2,1,1,5,1,1,1,2,1,1,2,5,2,7,2,4,1,2,1,1,2,5,2,4,7,5,7,3,7,2,7,7,4,1,4,1,5,1,2,7,1,2,2,1,2,1,2,3,2,2,1,1,1,1,1,1,1,1,2,2,3,2,3,1,4,4,2,7,1,1,5,1,6,5,1,5,2,5,2,1,5,7,6,5,6,6,7,5,5,8,+
20,2368,1,6,5,2,2,5,2,1,5,2,2,2,2,5,5,5,2,5,2,2,3,6,3,5,5,4,6,5,2,2,2,2,2,4,4,4,4,5,4,2,2,2,2,7,7,2,2,1,5,5,2,7,2,2,2,2,4,3,2,4,3,4,4,2,2,2,2,2,2,4,4,4,3,3,3,2,5,6,5,6,2,3,6,2,6,1,2,5,2,5,5,2,2,5,7,6,5,6,5,3,6,8,+
21,6010,1,5,1,1,3,1,3,3,1,1,4,1,1,2,2,3,3,1,1,3,1,1,1,2,3,3,1,3,5,1,2,3,3,4,3,2,3,4,3,3,4,3,7,4,2,5,4,2,4,2,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,5,2,7,1,1,4,1,6,1,1,5,2,2,3,1,2,5,6,7,6,5,6,2,6,8,+
22,873,1,5,1,3,3,3,1,5,3,1,1,1,2,6,6,4,1,2,1,2,1,1,2,2,6,4,1,2,5,1,1,5,4,5,2,4,5,2,3,2,4,7,1,4,2,3,5,1,3,5,1,5,1,1,1,1,2,1,4,4,3,2,1,1,1,1,1,1,1,1,3,3,2,2,3,2,2,6,2,7,1,1,1,1,7,6,1,6,6,4,5,2,7,6,5,7,6,7,6,5,6,8,+
23,1032,2,4,2,1,1,1,2,1,4,1,4,2,1,4,4,4,1,1,1,4,4,2,4,1,1,1,5,1,1,1,4,1,1,7,1,1,7,7,1,7,7,1,7,1,7,1,7,1,1,1,1,7,7,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,4,7,4,1,7,1,4,1,1,1,4,1,1,1,4,7,7,7,1,2,7,4,4,8,+
24,838,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,6,1,1,2,1,2,1,1,2,1,2,4,2,7,4,1,2,4,4,2,2,1,4,1,1,1,4,1,2,2,1,1,2,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,7,3,1,5,1,5,1,1,1,1,1,1,1,1,7,7,7,7,7,6,7,7,8,+
25,888,1,2,1,2,1,3,5,4,4,1,1,3,4,5,4,5,2,4,3,4,2,5,1,4,2,4,5,5,3,2,4,2,1,7,7,4,4,2,7,7,4,2,7,5,4,1,2,2,5,5,2,7,7,1,3,1,3,1,2,1,3,1,1,1,1,1,2,1,1,3,2,2,2,2,1,2,5,6,4,7,4,2,5,1,5,5,1,6,4,5,5,4,4,6,5,7,5,3,7,3,5,8,+
26,1843,1,6,1,4,4,5,7,3,5,1,2,1,1,1,4,6,4,1,1,4,7,1,4,7,4,4,1,4,2,1,1,1,7,7,4,3,6,2,2,5,7,7,6,4,1,6,6,6,1,3,1,1,1,1,1,1,3,1,3,3,3,3,1,1,3,1,1,1,1,1,3,3,3,3,2,3,4,5,2,7,1,1,4,1,7,5,1,7,7,7,7,6,7,2,2,4,6,4,5,1,3,8,+
27,1428,2,2,1,4,2,2,7,3,1,1,1,1,1,2,4,1,1,2,1,5,1,4,4,4,1,2,1,4,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,3,4,3,1,1,1,1,1,1,1,3,3,3,1,3,1,1,1,1,7,1,2,4,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,6,7,8,+
28,595,1,1,1,1,1,1,1,1,7,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,7,7,1,6,7,1,7,7,1,1,1,7,7,7,7,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,4,7,7,7,7,4,7,7,7,8,+
29,878,2,5,4,5,5,5,4,5,5,2,2,2,5,5,5,2,5,5,5,5,5,5,5,5,5,6,5,3,7,3,5,4,5,4,4,4,4,3,7,2,5,2,7,2,4,2,4,2,5,7,2,2,7,2,3,2,4,2,2,4,3,3,3,2,2,2,2,2,2,3,3,4,4,3,4,3,5,4,2,6,4,5,6,1,6,3,2,4,2,4,3,4,4,6,6,5,6,4,6,3,6,4,NA
30,1048,2,5,4,4,4,4,5,5,5,1,4,4,5,2,4,4,2,4,3,4,4,5,3,5,5,4,5,4,2,2,1,4,7,7,7,7,5,5,3,7,3,7,4,1,3,7,5,7,4,4,7,4,7,1,1,2,3,3,3,3,4,5,1,1,3,2,1,1,1,2,3,3,2,1,3,4,4,5,5,5,4,4,4,2,5,2,2,5,2,5,2,3,5,4,5,5,5,5,5,6,6,8,+
31,1072,1,5,1,2,2,5,1,4,1,1,1,1,1,2,1,5,1,1,1,3,1,2,1,4,2,4,1,1,2,1,1,1,7,2,1,4,4,1,4,6,4,4,7,2,2,2,2,7,4,4,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,4,7,1,1,4,1,6,1,1,6,1,2,1,1,4,5,6,6,6,4,6,4,6,8,+
32,848,2,3,3,3,1,1,1,3,2,5,5,1,1,1,1,4,1,5,4,5,7,1,1,4,5,6,3,4,1,3,1,1,6,5,1,3,6,6,2,7,5,1,6,7,1,1,4,4,5,5,1,4,5,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,1,7,2,1,4,2,7,3,1,3,2,6,3,2,5,6,5,7,6,7,6,3,6,8,+
33,801,1,5,4,4,4,4,4,4,4,1,4,2,5,6,4,4,4,5,1,4,4,4,4,4,6,4,5,4,4,2,2,7,7,7,7,7,7,7,7,4,7,7,7,7,2,7,7,7,7,7,7,7,7,3,2,1,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,4,4,2,4,5,4,3,4,4,5,4,4,4,4,6,4,4,4,5,7,3,4,NA
34,695,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,5,1,1,1,3,1,1,1,1,1,1,4,2,1,1,1,1,7,1,1,6,2,1,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,7,2,2,7,1,1,6,1,7,2,1,2,1,1,1,2,1,3,6,6,1,5,7,1,7,4,NA
35,242,1,6,3,3,6,2,3,5,6,4,5,5,3,4,6,3,3,2,6,5,6,3,3,7,5,5,3,4,5,5,4,7,3,7,4,7,7,5,5,7,7,4,3,7,2,4,4,5,3,3,3,7,3,4,3,3,4,2,4,4,1,4,2,3,4,2,3,5,5,3,5,2,2,2,3,4,1,7,6,4,5,6,4,4,6,5,4,4,4,4,2,3,6,5,6,5,6,5,4,3,4,4,NA
36,665,2,5,4,5,5,6,3,6,4,5,5,1,1,6,4,7,5,6,5,6,5,2,5,6,1,7,4,6,6,1,6,4,4,7,4,5,4,1,4,4,5,4,5,1,7,4,4,7,4,4,1,5,4,2,3,1,5,1,4,3,3,4,1,2,2,2,3,1,1,3,5,5,4,5,5,6,6,5,4,6,4,6,6,2,6,6,1,5,5,5,5,4,6,3,5,4,5,5,5,2,3,4,NA
37,1145,1,2,2,4,4,4,2,4,4,2,5,1,1,2,3,5,4,6,2,3,2,2,4,5,2,4,5,4,4,2,4,2,7,5,7,3,5,4,2,2,7,7,2,7,3,3,7,2,3,2,2,7,2,1,1,1,4,1,4,2,3,2,3,2,2,1,1,1,1,1,3,3,3,2,3,2,2,2,4,7,1,2,2,1,7,5,1,3,2,5,3,3,2,6,6,6,5,5,5,3,5,8,+
38,875,1,3,2,2,2,4,2,4,5,4,5,2,2,3,2,5,4,2,5,2,4,2,2,4,3,4,2,2,4,4,3,3,3,4,7,4,4,5,7,3,4,4,3,7,7,3,7,2,5,4,2,4,7,1,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,7,1,1,5,1,7,2,2,5,3,3,3,2,5,6,6,6,6,6,5,4,5,8,+
39,1405,2,5,1,1,4,2,1,1,1,1,1,1,1,1,1,5,1,2,2,7,1,1,1,1,1,4,1,1,1,1,1,2,7,4,7,4,7,2,7,4,3,1,7,7,3,1,7,7,5,7,2,7,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,7,1,1,5,1,6,4,5,6,5,7,4,3,6,3,3,2,3,2,3,2,3,8,+
40,973,2,2,1,2,4,4,2,2,2,2,2,1,2,5,3,1,3,5,2,3,2,1,2,2,3,4,3,2,1,2,3,2,7,3,2,3,3,2,2,2,7,7,2,4,3,1,2,7,3,7,2,2,4,3,2,2,3,1,2,2,3,2,2,1,2,1,2,2,2,2,2,3,2,2,4,1,3,4,5,6,1,2,2,2,6,1,2,2,5,5,2,2,6,6,5,6,6,5,5,6,5,8,+
41,268,1,6,3,4,3,3,3,5,5,4,6,5,4,5,5,4,2,2,2,4,4,3,7,3,4,4,4,4,4,3,4,2,2,5,4,7,5,2,7,3,5,4,3,1,6,2,4,7,6,1,4,3,5,4,4,3,3,4,4,3,2,4,4,2,5,3,3,4,4,4,4,4,4,5,3,7,4,5,5,3,3,5,5,2,4,7,3,2,2,2,4,3,4,2,2,2,5,1,2,4,4,8,+
42,1355,2,3,1,1,1,2,4,4,3,1,2,1,1,2,1,2,1,1,1,4,4,3,1,2,3,4,1,1,4,1,4,2,2,5,2,2,5,5,7,7,7,2,2,7,2,7,7,2,6,2,2,7,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,7,4,1,6,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
43,2435,1,2,1,4,4,4,1,1,5,1,2,1,1,4,4,4,1,1,1,4,4,1,4,5,4,6,5,5,1,2,4,7,4,3,4,5,3,1,2,1,4,4,7,7,4,2,7,5,7,4,1,2,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,3,3,3,1,3,2,4,6,4,6,1,4,7,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
44,844,1,5,1,1,1,1,1,2,5,5,1,1,5,2,1,5,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,6,1,5,2,2,7,2,2,2,1,7,4,4,6,5,4,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,7,1,1,2,1,7,2,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
45,1518,2,2,1,2,2,4,1,2,4,1,2,1,2,2,2,2,4,2,1,4,1,2,2,2,2,2,1,2,2,2,2,1,7,5,2,2,5,7,7,4,7,2,7,2,7,1,7,5,7,3,1,7,4,1,1,1,4,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,7,1,1,2,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
46,1445,2,6,1,1,3,1,1,2,6,1,1,1,1,3,1,4,1,1,1,2,1,1,1,1,7,2,1,1,1,1,1,1,1,2,1,1,7,6,2,2,1,1,3,2,1,2,1,1,6,4,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,2,7,1,1,2,1,7,1,2,2,1,4,1,1,2,7,7,6,6,7,7,7,6,8,+
47,1270,1,3,4,5,6,4,4,2,1,2,4,1,2,4,2,5,4,3,4,7,5,2,4,4,6,4,2,4,2,2,1,2,7,7,7,7,5,2,2,4,7,7,5,1,2,7,7,6,7,4,3,7,5,1,1,1,1,3,4,2,2,3,1,3,3,3,2,2,1,3,3,3,3,3,3,1,1,1,4,6,1,2,3,1,7,4,5,4,1,4,5,2,5,6,4,5,6,4,5,4,6,4,NA
48,1229,2,2,1,1,1,1,1,4,1,2,4,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,4,1,4,1,2,1,1,6,1,1,3,6,7,7,7,1,7,7,1,1,1,1,5,7,1,6,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,2,7,4,4,4,2,7,1,1,1,1,1,1,1,2,7,7,7,7,7,7,7,7,8,+
49,1042,1,5,2,4,4,5,4,3,2,2,2,1,1,2,4,2,4,2,2,5,2,2,4,5,2,4,3,2,2,3,2,7,7,7,4,4,3,7,7,3,2,7,7,2,3,3,2,5,3,2,3,2,4,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,3,1,2,6,2,5,4,1,6,3,2,6,2,4,4,4,2,5,6,6,6,6,6,6,6,8,+
50,1244,2,3,2,3,2,5,2,2,2,5,2,2,5,2,2,2,2,5,3,5,3,2,2,5,2,2,2,5,2,2,1,2,3,5,2,7,5,3,2,2,3,4,4,7,3,2,4,1,5,3,2,5,2,2,2,2,2,2,4,1,3,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,7,1,2,2,1,7,4,2,5,3,3,3,4,3,4,2,2,2,3,2,1,3,8,+
51,997,1,4,2,4,3,4,2,4,1,1,4,1,2,3,4,6,3,2,2,5,5,1,5,3,4,2,1,1,6,1,4,5,7,5,5,4,7,2,7,7,5,2,4,7,3,7,3,2,1,4,1,3,4,1,1,1,1,2,1,3,3,1,1,1,3,2,1,1,1,2,3,4,2,2,3,1,1,2,1,4,1,1,4,2,5,4,1,1,1,4,1,1,5,5,7,7,4,7,7,7,7,4,NA
52,1559,1,5,1,1,2,3,1,1,3,7,2,1,1,5,1,5,2,2,3,4,1,1,2,3,3,2,1,2,2,1,1,2,7,5,2,2,5,5,2,5,3,2,7,7,2,2,1,5,5,4,1,5,2,1,1,1,3,2,2,2,2,2,1,1,1,1,2,1,1,3,2,1,1,1,2,1,3,5,2,6,1,1,7,2,6,1,1,1,1,2,2,1,4,7,7,7,7,7,7,7,7,8,+
53,1074,2,6,1,2,5,6,6,1,1,1,6,1,5,5,2,6,2,6,5,7,2,6,2,5,5,2,1,3,1,1,1,6,4,6,5,4,2,1,3,2,4,7,5,1,7,3,4,4,3,4,1,1,4,1,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,3,4,3,1,4,3,5,7,7,7,1,5,5,1,7,5,1,5,1,2,1,1,5,7,7,6,6,7,5,3,7,8,+
54,1620,1,4,4,3,2,3,5,4,5,4,4,1,2,3,2,4,2,4,3,2,2,3,3,4,2,4,1,4,3,2,1,4,3,7,3,2,3,2,7,7,3,3,3,3,2,7,3,2,7,4,2,2,7,1,2,1,2,1,2,3,1,3,1,1,1,1,1,1,1,1,2,2,2,1,2,3,4,5,5,4,4,3,5,3,4,1,2,2,2,2,2,2,3,6,6,7,6,6,6,6,6,8,+
55,1528,1,4,1,4,2,4,4,2,4,2,4,1,4,4,4,4,2,4,2,4,4,4,1,2,4,4,1,4,3,4,3,1,1,7,1,7,6,6,7,7,7,7,2,7,2,7,2,7,5,4,2,7,1,1,1,1,3,1,3,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,4,4,4,4,4,4,4,2,6,1,1,1,1,1,1,1,1,7,6,7,7,7,7,4,7,8,+
56,336,2,5,3,4,5,5,4,6,4,4,6,6,5,6,6,5,5,6,5,5,5,4,5,5,5,6,6,4,5,5,4,7,7,4,4,7,4,7,7,3,4,7,4,7,4,5,4,4,4,4,7,4,3,2,3,2,2,3,3,2,2,1,2,2,1,2,2,3,2,2,1,3,2,2,3,4,5,5,4,3,6,6,5,7,5,4,3,5,5,4,5,3,4,5,4,4,5,6,5,5,5,6,NA
57,564,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,6,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,1,2,6,4,4,5,6,5,6,6,7,6,6,5,6,7,6,6,6,6,7,8,+
58,735,1,3,3,4,5,4,4,4,3,2,3,2,5,3,4,4,4,4,5,4,4,4,5,5,3,4,5,5,2,4,2,7,7,7,4,4,4,7,7,7,4,4,4,2,7,7,7,7,7,7,7,3,4,3,2,2,3,3,4,4,3,4,3,2,2,3,3,2,2,3,4,4,4,3,4,3,4,4,3,6,1,4,5,2,5,4,2,3,3,4,3,3,5,4,4,5,5,4,4,4,4,8,+
59,529,2,2,4,4,2,3,4,5,4,4,2,2,3,3,3,4,4,3,4,2,5,3,5,4,3,4,3,3,3,4,4,7,3,4,4,4,2,4,7,5,7,4,4,4,7,4,3,4,7,7,4,4,7,2,1,1,4,3,2,3,2,1,2,1,1,2,2,2,1,3,4,3,3,2,4,3,4,2,6,5,4,1,5,7,7,1,1,2,2,6,1,1,5,7,2,6,7,7,6,4,6,1,NA
60,385,1,5,6,6,6,3,4,4,6,4,4,4,7,6,5,6,5,6,5,5,5,6,4,5,7,5,7,4,6,4,6,5,5,5,4,6,6,6,6,5,4,5,4,4,7,5,4,5,4,4,5,7,4,5,5,4,5,5,5,4,5,4,4,5,4,5,5,4,5,5,5,4,5,5,5,5,4,4,5,6,5,6,4,5,4,NA,7,7,7,7,6,6,7,6,5,6,6,4,4,6,4,4,NA
